id,L1,L2,L3,L4,L5,L6,L7,L8,L9,ML,A1,A2,A3,A4,A5,A6,MA
6427,10.0,10.0,10.0,10.0,2.5,10.0,10.0,10.0,6.7,8.93,8.9,10.0,10.0,6.7,0.0,0.0,8.26
6434,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,10.0,6.7,6.7,0.0,0.0,7.87
6522,10.0,10.0,10.0,9.2,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6431,10.0,10.0,10.0,10.0,10.0,6.5,0.0,0.0,6.7,6.64,10.0,0.0,0.0,0.0,0.0,0.0,2.86
6465,1.3,3.9,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6428,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.3,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6425,0.0,2.6,6.0,1.7,8.3,10.0,8.1,8.0,4.4,6.39,3.3,10.0,10.0,3.3,10.0,0.0,5.94
6280,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.0,0.3,0.0,0.0,0.0,0.06
6430,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6439,10.0,7.4,4.0,10.0,10.0,8.8,3.1,9.3,10.0,7.51,10.0,10.0,10.0,6.7,0.0,0.0,8.58
2083,9.4,4.3,2.0,3.3,2.5,0.0,0.0,3.3,0.0,2.20,0.0,0.0,0.0,5.4,0.0,0.0,1.16
4444,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6429,10.0,10.0,10.0,9.2,0.0,0.0,0.0,0.0,3.3,4.17,6.7,0.0,0.0,0.0,0.0,0.0,1.91
6436,10.0,8.7,4.5,0.0,3.3,0.0,1.9,8.0,3.3,3.77,10.0,3.3,6.7,3.3,10.0,0.0,5.71
6549,0.0,0.0,2.0,2.5,5.8,10.0,10.0,10.0,3.3,5.76,6.7,10.0,6.7,10.0,0.0,0.0,7.64
6437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1338,10.0,10.0,10.0,9.2,6.7,7.6,3.1,0.0,6.7,6.66,10.0,10.0,0.0,0.0,0.0,0.0,5.00
2841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5159,10.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6435,8.8,10.0,10.0,6.7,7.5,5.9,3.8,0.0,10.0,6.27,10.0,10.0,7.8,0.0,10.0,0.0,6.67
6450,0.0,7.0,4.5,1.7,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2228,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.3,0.0,9.90,10.0,10.0,10.0,0.0,0.0,0.0,7.14
5179,10.0,10.0,10.0,9.2,10.0,7.1,9.4,10.0,7.8,9.39,10.0,6.7,6.7,10.0,0.0,0.0,7.87
5173,10.0,10.0,8.0,0.0,5.0,10.0,10.0,5.3,6.7,6.90,10.0,10.0,6.7,3.3,0.0,10.0,7.86
6426,0.0,10.0,10.0,0.0,0.0,6.5,1.3,0.0,0.0,3.97,6.7,3.3,3.3,0.0,10.0,0.0,3.33
6432,10.0,10.0,8.0,4.2,10.0,5.9,1.9,0.0,6.7,5.71,10.0,10.0,0.0,0.0,0.0,0.0,5.00
6433,10.0,10.0,8.5,9.2,10.0,10.0,10.0,10.0,10.0,9.67,10.0,10.0,10.0,7.8,0.0,0.0,8.81
6582,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5167,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.3,3.3,9.90,10.0,10.0,6.7,10.0,0.0,0.0,8.58