id,L1,L2,L3,L4,L5,L6,L7,L8,ML,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,MA
6420,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,0.0,10.0,0.0,0.0,0.0,3.3,10.0,0.0,0.0,3.33
6004,4.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1059,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5308,0.0,0.0,0.0,0.0,0.0,0.6,2.5,2.7,0.73,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.33
6423,10.0,10.0,10.0,9.4,3.9,7.1,5.0,3.3,7.34,10.0,0.0,10.0,0.0,0.0,0.0,6.7,10.0,0.0,0.0,3.67
5138,10.0,10.0,10.0,1.7,2.8,1.8,0.0,0.0,4.54,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00
6151,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,4.00
1997,0.6,0.4,0.0,0.0,0.0,3.5,3.1,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6411,10.0,10.0,10.0,8.9,1.1,10.0,1.9,0.0,6.49,5.0,0.0,5.0,0.0,0.0,0.0,0.0,6.7,6.7,0.0,2.34
2308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6421,8.8,0.4,4.2,6.1,2.2,3.5,2.5,5.3,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
105,2.5,0.9,0.0,0.0,1.1,0.6,0.0,0.7,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6422,9.4,10.0,10.0,10.0,7.2,10.0,10.0,10.0,9.57,5.0,0.0,10.0,0.0,0.0,0.0,6.7,10.0,6.7,0.0,3.84
6613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5121,10.0,10.0,7.0,0.0,9.8,10.0,10.0,9.3,8.26,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,4.00
4837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6416,5.6,10.0,0.0,2.8,5.0,0.0,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5148,10.0,10.0,10.0,8.3,3.9,1.2,0.0,0.0,5.42,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00
6412,10.0,10.0,9.0,10.0,10.0,10.0,10.0,3.3,9.04,10.0,0.0,10.0,0.0,10.0,0.0,6.7,0.0,0.0,0.0,3.67
6612,9.4,6.5,1.0,0.6,0.0,1.8,3.8,10.0,4.14,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50
6410,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,9.38,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,3.00
6415,10.0,10.0,10.0,8.3,7.8,8.8,10.0,10.0,9.36,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.3,0.0,0.0,0.55
4338,0.0,0.9,5.5,0.0,0.0,0.0,0.0,0.0,0.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6404,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,4.00
6406,1.3,10.0,10.0,10.0,10.0,10.0,10.0,0.0,7.66,5.0,0.0,5.0,0.0,5.0,0.0,6.7,10.0,10.0,0.0,4.17
6276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6408,0.6,7.5,10.0,0.6,2.2,1.8,1.9,3.3,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,0.0,0.66
6424,10.0,10.0,10.0,7.8,8.9,2.4,0.0,0.0,6.14,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00
6414,10.0,10.0,10.0,10.0,10.0,10.0,9.4,3.3,9.09,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.7,6.7,0.0,2.01
6417,10.0,10.0,10.0,10.0,7.2,6.5,9.4,7.3,8.80,10.0,0.0,10.0,0.0,0.0,0.0,3.3,6.7,3.3,0.0,3.33
6485,10.0,10.0,5.0,0.6,2.2,0.0,4.4,0.0,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6413,10.0,10.0,4.5,7.8,2.8,1.8,6.7,10.0,6.70,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,6.7,0.0,1.50
6409,10.0,10.0,9.0,7.2,0.0,0.0,3.1,0.0,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6670,10.0,10.0,9.8,7.2,1.1,7.1,4.4,1.3,6.36,0.0,5.0,0.0,5.0,0.0,0.0,3.3,0.0,6.7,0.0,2.00
4605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6401,10.0,9.6,5.8,1.1,0.0,0.0,0.0,0.0,3.31,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50
6418,10.0,5.7,0.0,0.0,0.0,1.2,5.0,10.0,3.99,5.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,3.50
5133,10.0,9.1,9.0,7.8,1.1,7.1,3.8,4.0,6.49,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,6.7,0.0,2.17
6479,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4483,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6407,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.7,9.84,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,4.00
6419,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6110,10.0,10.0,10.0,10.0,8.3,8.2,8.1,2.7,8.41,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50