id,L1,L2,L3,L4,L5,L6,L7,L8,ML,A1,A2,A3,A4,A5,A6,A7,MA
4372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.71
6461,0.0,10.0,3.3,0.8,10.0,10.0,10.0,0.0,5.51,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.71
6457,0.0,0.9,4.0,8.3,10.0,10.0,10.0,0.0,5.40,0.0,0.0,10.0,0.0,0.0,0.0,4.4,2.06
6463,10.0,6.1,7.5,10.0,10.0,3.5,3.1,2.7,6.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6458,3.8,10.0,8.0,7.5,10.0,9.0,10.0,0.7,7.38,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.71
6484,8.1,0.0,2.5,4.2,10.0,3.5,7.5,0.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6445,3.8,10.0,10.0,10.0,10.0,10.0,8.1,8.7,8.82,0.0,10.0,10.0,0.0,0.0,0.0,10.0,4.29
6443,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.75,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.71
6451,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,5.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6449,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6442,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,5.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6452,8.8,10.0,8.5,10.0,10.0,10.0,0.0,0.0,7.16,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.71
3201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6462,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.7,9.84,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.43
6481,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,7.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
5405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6283,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6459,5.0,10.0,8.0,4.2,0.0,0.0,0.0,0.0,3.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6444,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.9,9.61,0.0,10.0,10.0,0.0,10.0,10.0,0.0,5.71
6446,9.4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.93,0.0,10.0,10.0,0.0,10.0,10.0,0.0,5.71
4202,8.8,7.4,0.0,0.0,0.0,0.0,0.0,0.0,2.03,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.93
6172,1.9,9.1,6.8,9.2,10.0,10.0,10.0,0.0,7.13,0.0,5.0,0.0,10.0,0.0,0.0,0.0,2.14
6447,10.0,10.0,10.0,5.8,3.9,0.0,0.0,0.0,4.96,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.43
6460,10.0,10.0,10.0,8.3,9.4,7.1,8.1,0.0,7.86,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.71
6467,10.0,10.0,5.5,5.0,10.0,10.0,10.0,10.0,8.81,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2.86
6456,2.5,10.0,10.0,8.3,10.0,6.1,10.0,8.7,8.20,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.71
6448,0.0,9.6,0.5,10.0,10.0,0.0,0.0,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00